Brand,Stars,Rating,Reviews
Apple,4.6,5689393,276380
OnePlus,4.41081081081081,735155,44139
Nothing,4.4,290150,29980
vivo,4.395604395604396,4530263,264831
CMF,4.3500000000000005,31236,2646
Xiaomi,4.35,3028,444
OPPO,4.340277777777778,142851,11624
IQOO,4.34,31938,1814
Samsung,4.3,289130,27638
realme,4.291935483870968,1249254,75733
SAMSUNG,4.291,1581095,110861
Motorola,4.2827586206896555,2186208,183959
Infinix,4.219607843137255,1427158,97283
POCO,4.214516129032258,1415350,94119
Tecno,4.2,12422,638
Honor,4.2,951,86
REDMI,4.195192307692308,1484704,87997
MOTOROLA,4.183333333333334,41696,2818
Google,4.18,161944,18180
LAVA,4.1625,91395,7714
Kechaoda,4.021052631578947,300190,21441
itel,4.014583333333333,63736,4431
BlackZone,4.0,25632,1569
Micromax,3.9749999999999996,53629,8466
Nokia,3.933333333333333,880182,57800
I,3.8333333333333335,586,38
Jio,3.75,2558,136
KARBONN,3.6999999999999997,8310,591
Vox,3.6,258,12
